feature,mean_abs_shap
cat__purpose_small_business,0.5069279
cat__purpose_medical,0.40200192
num__loan_amnt,0.37898287
num__fico_n,0.33363113
cat__purpose_moving,0.27128524
num__dti_n,0.24871682
cat__purpose_other,0.19737017
cat__purpose_credit_card,0.18119892
cat__home_ownership_n_MORTGAGE,0.15958071
cat__purpose_vacation,0.15005663
cat__purpose_major_purchase,0.13919011
cat__addr_state_WV,0.13583846
cat__addr_state_OK,0.13293648
cat__addr_state_MS,0.13166603
num__revenue,0.12129527
cat__addr_state_DC,0.104973756
cat__addr_state_VT,0.10449031
cat__addr_state_OR,0.103330836
cat__zip_code_082xx,0.102141306
cat__zip_code_941xx,0.09686048
cat__zip_code_787xx,0.095320866
cat__zip_code_482xx,0.089879155
cat__addr_state_NH,0.088609464
cat__addr_state_ME,0.087580584
cat__addr_state_AR,0.08490789
cat__zip_code_222xx,0.08295042
cat__purpose_house,0.08111447
cat__addr_state_WA,0.079009145
cat__purpose_home_improvement,0.07234736
cat__home_ownership_n_RENT,0.06375892
cat__addr_state_KS,0.06206461
cat__addr_state_AL,0.058298852
cat__zip_code_237xx,0.05790583
num__emp_length_yrs,0.056352906
cat__zip_code_104xx,0.05589719
cat__zip_code_283xx,0.05584297
cat__addr_state_SC,0.05514223
cat__addr_state_CO,0.05411712
cat__zip_code_100xx,0.053386975
cat__zip_code_891xx,0.05283996
cat__addr_state_LA,0.051933452
cat__zip_code_021xx,0.049393088
cat__addr_state_MT,0.04764917
cat__zip_code_703xx,0.047588035
cat__zip_code_933xx,0.04599783
cat__zip_code_331xx,0.045290664
cat__zip_code_083xx,0.045178212
cat__addr_state_NY,0.042904448
cat__zip_code_024xx,0.042502817
cat__zip_code_207xx,0.04089036
cat__zip_code_992xx,0.040657885
cat__zip_code_080xx,0.039821677
cat__zip_code_705xx,0.036902934
cat__addr_state_NE,0.03668463
cat__purpose_renewable_energy,0.036578845
cat__addr_state_AZ,0.035647284
cat__zip_code_799xx,0.03394045
cat__addr_state_WI,0.03301726
cat__addr_state_UT,0.032510083
cat__zip_code_746xx,0.032275323
cat__addr_state_MD,0.03195231
cat__home_ownership_n_OWN,0.031661086
cat__purpose_car,0.030654507
cat__zip_code_959xx,0.02978292
cat__zip_code_183xx,0.02970444
cat__zip_code_485xx,0.029618027
cat__zip_code_950xx,0.029564673
cat__zip_code_802xx,0.029405555
cat__zip_code_115xx,0.029102292
cat__addr_state_CT,0.028511938
cat__zip_code_170xx,0.027705563
cat__zip_code_456xx,0.027410703
cat__zip_code_721xx,0.027287807
cat__zip_code_736xx,0.027172936
cat__zip_code_815xx,0.027049594
cat__zip_code_126xx,0.02702441
cat__zip_code_038xx,0.026909571
cat__zip_code_727xx,0.026871702
cat__zip_code_981xx,0.026526166
cat__addr_state_GA,0.025620928
cat__zip_code_433xx,0.025508935
cat__zip_code_634xx,0.025489325
cat__zip_code_895xx,0.025338266
cat__zip_code_344xx,0.025160171
cat__zip_code_258xx,0.025144463
cat__zip_code_152xx,0.02389951
cat__zip_code_212xx,0.023751676
cat__zip_code_053xx,0.023386441
cat__addr_state_CA,0.022872685
cat__zip_code_454xx,0.02222027
cat__zip_code_113xx,0.0218977
cat__purpose_debt_consolidation,0.021180896
cat__zip_code_405xx,0.021034954
cat__addr_state_KY,0.021009222
cat__zip_code_018xx,0.020585028
cat__zip_code_463xx,0.020342791
cat__zip_code_731xx,0.01992567
cat__addr_state_MO,0.019860959
cat__zip_code_741xx,0.019836318
cat__addr_state_FL,0.019741734
